displacement_all,LDF_v_all,LDF_q_all,LDF_baseline_v,LDF_baseline_q,load_all,time_all
-1.4702894691071762e-08,-0.0010284749738221123,-4.175055527076714e-05,100.0,100.0,0.0,0.5
-3.445647397002939e-08,-0.0010264197280940813,-4.156256805692979e-05,99.80016570355689,99.54973721279109,4.894348370484646,1.0
-9.209856709154375e-08,-0.0010191179323928486,-4.0970174303790953e-05,99.09020232213429,98.13084889071501,19.098300562505255,1.5
-1.8228500117880894e-07,-0.0010078590777715397,-4.0063116050648176e-05,97.99548879891964,95.95828316731281,41.221474770752685,2.0
-2.9647491922098185e-07,-0.0009936010637287087,-3.893592816908507e-05,96.60916298587199,93.25846786125784,69.09830056250526,2.5
-4.237713712719568e-07,-0.0009776315888993022,-3.770442473722448e-05,95.05642954695716,90.30879827273657,99.99999999999999,3.0
-5.519448890917246e-07,-0.0009614926093833163,-3.649293280754623e-05,93.48721494020704,87.40705978849054,130.90169943749476,3.5
-6.685997739374378e-07,-0.0009468424232200074,-3.542103574556711e-05,92.06275770632176,84.83967582191217,158.7785252292473,4.0
-7.62382584986563e-07,-0.0009352655426910891,-3.4591793468293804e-05,90.93712209791262,82.85349319057859,180.90169943749476,4.5
-8.241184450004598e-07,-0.0009280635130376757,-3.4082901189217296e-05,90.23685910301946,81.63460573919942,195.10565162951536,5.0
-8.477558070526056e-07,-0.0009260702907411192,-3.394123101538298e-05,90.04305542793837,81.29528049450379,200.0,5.5
-8.508575478406889e-07,-0.0009266702149265424,-3.398313663575507e-05,90.10138686046645,81.39565190298042,200.0,6.0
-8.534577299882942e-07,-0.0009271046100413597,-3.401640085904194e-05,90.1436236796282,81.47532562964379,200.0,6.5
-8.558981902787481e-07,-0.0009275125483725919,-3.404794751856558e-05,90.18328807026636,81.55088548583984,200.0,7.0
-8.582103632792408e-07,-0.0009278988722923012,-3.407803683116791e-05,90.22085086270587,81.62295473715204,200.0,7.5
-8.604147350944645e-07,-0.0009282665038615781,-3.410684471021225e-05,90.25659617286259,81.6919547273498,200.0,8.0
-8.625267641869383e-07,-0.0009286177055475057,-3.41345115306956e-05,90.290743983443,81.7582216794991,200.0,8.5
-8.645584408524071e-07,-0.0009289542966046954,-3.4161152743200473e-05,90.323471183011,81.82203211826356,200.0,9.0
-8.665192801222075e-07,-0.0009292777734459332,-3.41868651077998e-05,90.35492326978716,81.88361780121454,200.0,9.5
-8.684169783126197e-07,-0.000929589388660725,-3.421173091850834e-05,90.38522203472782,81.9431758371431,200.0,10.0
-8.70257863573008e-07,-0.0009298902054835386,-3.4235820998894655e-05,90.41447085754513,82.0008758610831,200.0,10.5
-8.720472142915579e-07,-0.0009301811368516667,-3.42591969029587e-05,90.44275850435552,82.05686530580412,200.0,11.0
-8.737894895369642e-07,-0.0009304629742872015,-3.428191257683534e-05,90.47016193591278,82.11127338188676,200.0,11.5
-8.754884991997534e-07,-0.0009307364097871242,-3.4304015641154654e-05,90.49674843601073,82.16421414920343,200.0,12.0
-8.771475317916562e-07,-0.0009310020527538664,-3.4325548398736775e-05,90.52257725766451,82.21578893052663,200.0,12.5
-8.787694519064791e-07,-0.0009312604433147704,-3.434654863870837e-05,90.54770091817942,82.26608823753081,200.0,13.0
-8.803567755620521e-07,-0.0009315120629541492,-3.436705028673969e-05,90.5721662329205,82.31519332822567,200.0,13.5
-8.819117291680835e-07,-0.0009317573431075971,-3.438708393700532e-05,90.59601515094876,82.36317748109671,200.0,14.0
-8.834362962064276e-07,-0.0009319966721862608,-3.44066772918708e-05,90.61928543800049,82.41010704823279,200.0,14.5
